Topic,Owner,Owner URL,Repository Name,Repository URL,Description,Stars
Chrome,crimx,https://github.com/crimx,ext-saladict,https://github.com/crimx/ext-saladict,"🥗 All-in-one professional pop-up dictionary and page translator which supports multiple search modes, page translations, new word notebook and PDF selection searching.",13000
Chrome,amir1376,https://github.com/amir1376,ab-download-manager,https://github.com/amir1376/ab-download-manager,A Download Manager that speeds up your downloads,12900
Chrome,chromedp,https://github.com/chromedp,chromedp,https://github.com/chromedp/chromedp,"A faster, simpler way to drive browsers supporting the Chrome DevTools Protocol.",12700
Code quality,realm,https://github.com/realm,SwiftLint,https://github.com/realm/SwiftLint,A tool to enforce Swift style and conventions.,19400
Code quality,keploy,https://github.com/keploy,keploy,https://github.com/keploy/keploy,"API, Integration, E2E Testing Agent for Developers that actually work. Generate tests, mocks/stubs for your APIs!",15500
Code quality,facebook,https://github.com/facebook,infer,https://github.com/facebook/infer,"A static analyzer for Java, C, C++, and Objective-C",15500
Code quality,federico-busato,https://github.com/federico-busato,Modern-CPP-Programming,https://github.com/federico-busato/Modern-CPP-Programming,Modern C++ Programming Course (C++03/11/14/17/20/23/26),14600
Code quality,analysis-tools-dev,https://github.com/analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,"⚙️ A curated list of static analysis (SAST) tools and linters for all programming languages, config files, build tools, and more. The focus is on tools which improve code quality.",14300
Code quality,Kristories,https://github.com/Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,A curated list of high quality coding style conventions and standards.,10500
Code quality,super-linter,https://github.com/super-linter,super-linter,https://github.com/super-linter/super-linter,Combination of multiple linters to run as a GitHub Action or standalone,10300
Code quality,SonarSource,https://github.com/SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,Continuous Inspection,10200
Code quality,reviewdog,https://github.com/reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,🐶 Automated code review tool integrated with any code analysis tools regardless of programming language,9000
Code quality,checkstyle,https://github.com/checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,"Checkstyle is a development tool to help programmers write Java code that adheres to a coding standard. By default it supports the Google Java Style Guide and Sun Code Conventions, but is highly configurable. It can be invoked with an ANT task and a command line program.",8800
Code quality,facebook,https://github.com/facebook,pyre-check,https://github.com/facebook/pyre-check,Performant type-checking for python.,7100
Code quality,detekt,https://github.com/detekt,detekt,https://github.com/detekt/detekt,Static code analysis for Kotlin,6800
Code quality,trekhleb,https://github.com/trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,💩State-of-the-art shitcode principles your project should follow to call it a proper shitcode,6100
Code quality,import-js,https://github.com/import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,ESLint plugin with rules that help validate proper imports.,5900
Code quality,pylint-dev,https://github.com/pylint-dev,pylint,https://github.com/pylint-dev/pylint,It's not just a linter that annoys you!,5600
Code quality,pmd,https://github.com/pmd,pmd,https://github.com/pmd/pmd,An extensible multilanguage static code analyzer.,5300
Code quality,facebook,https://github.com/facebook,pyrefly,https://github.com/facebook/pyrefly,A fast type checker and language server for Python,5200
Code quality,kucherenko,https://github.com/kucherenko,jscpd,https://github.com/kucherenko/jscpd,Copy/paste detector for programming source code.,5200
Code quality,simplecov-ruby,https://github.com/simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,Code coverage for Ruby with a powerful configuration library and automatic merging of coverage across test suites,4900
Code quality,phpro,https://github.com/phpro,grumphp,https://github.com/phpro/grumphp,A PHP code-quality tool,4300
Compiler,vercel,https://github.com/vercel,next.js,https://github.com/vercel/next.js,The React Framework,137000
Compiler,rust-lang,https://github.com/rust-lang,rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,110000
Compiler,sveltejs,https://github.com/sveltejs,svelte,https://github.com/sveltejs/svelte,web development for the rest of us,85500
